word	x	y	nearest
idle	-16.9179616843	-29.385223644	0.848
street	57.4616932401	-55.9920368902	0.837
guilt	-39.4950799332	-37.7783475114	0.850
friend	47.700017017	-86.7688806868	0.769
mirth	25.5078668299	-10.4224347783	0.843
feeling	-92.1589943097	-17.9943185653	0.723
acquisition	-42.1624771903	-42.5757475045	0.888
bridge	24.7774998741	4.77044204921	0.838
donkey	52.5292361861	64.5438270767	0.815
fashion	-36.8752960847	-15.3181946646	0.877
handkerchief	39.0395815675	22.3328204162	0.769
rattle	93.8893765904	34.1962690502	0.698
mind	-92.3974033565	6.05570659135	0.661
mine	-42.1452986026	55.6134903482	0.745
manner	-89.0896178761	-6.41809906153	0.672
further	8.04199251984	2.67926737681	0.738
seen	-30.7403488403	78.5522820378	0.805
seek	-8.50250062628	83.133659053	0.841
dozen	33.135966447	39.5186927696	0.658
affairs	-66.4311567747	-17.7899438719	0.903
strength	-68.9680585832	-54.8992596975	0.875
latter	-38.6874951544	-85.2623279568	0.939
elegance	-73.1443914194	-40.3389677146	0.897
subduing	51.636078625	-29.8315317889	0.891
niece	-61.4061478347	14.9029293158	0.869
doors	-56.0181977586	-84.3025762345	0.847
timidity	-15.8197474094	8.27863562285	0.847
object	-83.5856322656	-59.6930213606	0.742
extending	5.24896595691	-10.2581586435	0.884
mouth	-24.0127916199	36.3157176967	0.846
letter	18.2865856668	-64.5751012594	0.590
proverb	67.5641084199	28.8804863273	0.684
philosophic	75.4157371284	-5.45710601626	0.787
lambton	54.6268838074	-47.9084050473	0.856
inconsistency	-19.2787783652	-45.6215812836	0.907
morality	44.0582527558	57.573629969	0.770
constancy	35.0013751854	32.3356957858	0.714
observation	-87.2390438115	-0.265236809074	0.800
grove	-38.1529684775	-82.5059910147	0.824
alarm	-80.1891760761	-4.42699476453	0.768
camp	46.6026570067	9.41881577107	0.780
flow	-62.3955753794	-54.3323833213	0.918
reputation	40.7809483471	-9.94851000602	0.881
aunt	55.429537606	-80.3099577854	0.806
principle	-38.1598003002	-55.8687296258	0.825
derbyshire	20.7217889215	-44.4882992545	0.827
reserve	-37.3063053085	-13.3843802009	0.871
opinions	-69.6363030977	-16.0583950353	0.844
rapture	25.9765589486	1.31990916914	0.834
visitor	-48.9790021646	-8.48691213067	0.789
dupe	65.5557626931	-24.5765704226	0.768
brilliancy	-23.7086761791	-36.543159008	0.914
uneasiness	-56.2791423075	-6.27375393164	0.774
stepping	-46.5302095443	10.3664852059	0.831
rector	62.2185461963	17.1269593705	0.787
nephew	-61.2350685685	14.3320770854	0.855
judges	31.4609661453	11.041404261	0.829
resemblance	-27.3769438993	-38.7064661382	0.839
spite	-76.3175032595	-70.9563299195	0.889
guidance	-21.6397881708	-35.5882928319	0.915
refreshment	41.2048063564	-6.79871278489	0.819
disgust	-16.2894080642	22.4268022631	0.731
pursuing	-33.9420269271	-65.8158528511	0.930
lodge	55.0760792261	-54.0823488976	0.812
dullness	54.0686069121	-0.434144433018	0.823
warmest	-47.6531351731	-73.2573013601	0.943
plate	33.6791555108	17.6837143208	0.770
mixture	-75.2062087316	-33.2546494902	0.878
watch	-4.46681227319	-70.7236738219	0.800
leisure	-5.66505574309	63.6210965965	0.724
degradation	33.1965131141	-20.0649797236	0.820
pocket	-6.16552184019	12.4697484894	0.842
wedding	-5.96994975346	-40.8030403712	0.784
report	-48.4364591093	-51.4194974602	0.866
happiest	-68.7400891098	-75.6003209572	0.929
behindhand	-2.19101471046	46.1278398184	0.822
method	-37.8959085845	-26.845087527	0.877
exclamations	-29.6520712948	-13.8321654421	0.869
release	-3.78733800301	11.4858599199	0.777
explanations	-33.3447531902	32.6911362077	0.900
farther	8.0385967985	2.71973370825	0.704
headed	-13.8931059724	35.1488830101	0.877
elopement	14.1174364006	4.76325896085	0.792
penance	8.63843114648	-49.2165052023	0.835
observer	74.427801288	14.9029521775	0.601
habit	-74.5981909905	-71.3643879756	0.897
resist	4.38275417179	81.1147652263	0.845
result	-68.3250646703	-75.4104488622	0.922
best	24.2215947798	-64.1457417331	0.701
subject	-34.9686331676	-73.3816088487	0.730
