word	x	y	nearest
stop	7.95553629142	-16.5681646216	0.220
leisure	2.67521236184	10.3764381095	0.306
degradation	-10.6282155808	-52.6030855904	0.393
pocket	42.5406000877	13.870817393	0.325
wedding	-74.7506095522	26.5916582585	0.924
report	33.3191837284	61.107935644	0.556
dressing-room	-50.45607939	55.0746095535	0.868
earl	32.4992610862	39.5478592559	0.558
method	74.2935188398	20.2155897969	0.298
troop	30.5279823405	-17.1687537642	0.231
release	67.053922292	13.5911853525	0.344
elopement	-5.1307292676	-9.46088304677	0.306
penance	-24.5781651793	-82.5558725553	0.549
observer	10.3112715958	41.1854757613	0.431
habit	26.8264570759	55.0590225953	0.527
expediency	14.9905996893	14.055967123	0.428
detection	-1.76355958541	-38.3867977081	0.394
result	-13.5980992457	-57.7595149524	0.400
half-an-hour	2.36122552732	37.353806834	0.477
best	9.75858874988	-66.993406454	0.309
subject	-72.6801907119	-33.7242546094	0.979
diffidence	47.2287486111	-0.310525065449	0.323
gentility	5.88346229817	-78.3668165806	0.347
capacity	32.7542915651	-49.8281977209	0.304
playfulness	31.5446299125	0.634870587873	0.259
temptation	23.1962114647	-4.56482465288	0.386
gentleman	-77.2632079953	28.8845030578	0.911
solicitude	-30.6004667367	-71.1944799424	0.614
mud	46.4090274196	9.37955151593	0.314
score	-11.4799367817	-51.6643598077	0.395
approach	-18.421671799	68.1942690815	0.761
discovery	41.2727429972	63.1060591577	0.589
nature	-72.4518255901	8.92902435562	0.940
confusion	23.6637786493	-85.5144682508	0.349
ignorance	-32.4895796566	-91.9396780509	0.643
toilette	-7.40214699732	69.0308239542	0.662
extent	-29.9783269215	67.4727345157	0.791
disservice	26.4675873594	9.83570578365	0.241
cousin	-78.1305592388	-9.74073695622	0.967
motto	36.631881523	8.56354023809	0.319
debt	31.2075591043	-14.4585850491	0.243
kitchen	10.5856656065	70.1311673291	0.693
pity	-72.3312290136	-26.8067057201	0.979
accident	-15.3736256473	95.2266200101	0.681
disdain	7.56514402879	-69.3407833082	0.406
country	-80.5251187907	-53.916453961	0.987
ill	-74.7743734028	11.4929892804	0.951
matrimony	-60.8143876183	55.3791014004	0.859
self-denying	29.7078559335	-56.5092610529	0.283
variance	16.0406506164	-39.9045014557	0.217
expense	-49.1524656825	67.1081150425	0.870
tone	-80.1575122638	18.5604023785	0.943
trunk	57.9152607248	-6.25328367506	0.297
height	48.3730592271	7.19347478585	0.274
