word	x	y	nearest
partiality	-64.2593864243	49.307993729	0.938
trepidation	35.4975253316	51.4865798892	0.363
journey	-37.9628429541	89.0849682251	0.986
intent	33.3158867797	-23.6391828416	0.370
dissipation	-52.8924091721	-31.8375918242	0.681
discharge	29.0792996372	-66.3008050125	0.317
compunction	-2.58771827064	-23.7681376742	0.261
to-day	7.93895601976	-58.9151482347	0.370
apology	-79.6188386747	-3.8740922552	0.793
side-glass	22.2624293819	21.5227599185	0.225
interval	-71.5689756404	-13.0675075296	0.788
reception	71.2874199329	43.9777112682	0.346
time	-5.80341991657	88.6269736313	0.995
intimacy	-58.4139783211	31.4249930055	0.911
gown	32.0243173702	72.5053679124	0.657
coach	-57.9160228054	25.3711834904	0.874
half-whisper	39.3074336537	-6.29094781616	0.222
corps	-41.0125735155	-40.7101480591	0.546
impression	-51.9041471099	22.6824137223	0.871
dance	-52.5312190464	29.86184114	0.902
horseback	-10.0156589744	-29.1518522312	0.399
abatement	1.74844191377	-5.44676488921	0.233
mile	28.4127369162	91.691047403	0.801
battle	-9.58339853233	-32.195432237	0.310
chair	27.3750956708	88.5718088524	0.793
varnish	33.6702887067	-30.2637268332	0.257
anticipation	-37.9281601205	-34.2057076019	0.500
father	-64.6949721669	77.0748532576	0.950
passage	-67.2884603267	-44.554380605	0.660
charge	31.4007930418	-14.7364756636	0.237
avowal	44.5155196433	29.422080209	0.266
terror	-68.0578994899	-27.5630525789	0.770
sing	78.1548880899	8.42629381695	0.264
advantage	37.8490286689	69.2968861182	0.583
choice	-65.5075097303	58.8391306478	0.949
congregation	66.2096814806	27.0848577143	0.404
merit	45.6613399659	-11.2275314403	0.205
cook	63.3058151503	-27.6311618616	0.266
trouble	-74.7738572488	67.7384321202	0.957
minute	22.1384179941	96.4403487789	0.875
brother	-5.50887458223	89.9013925429	0.996
ascertaining	48.6471008312	-11.6204556931	0.253
leave	-60.7921863255	51.3212379411	0.931
excellence	62.3346388555	39.2458233549	0.432
speculation	7.92149300107	-8.77690605059	0.410
gentlewoman	77.8347099295	-8.56460515059	0.313
round	24.0362548322	95.1158687147	0.875
accomplishment	37.1418323292	41.7442226726	0.366
regret	-63.2212639372	88.7635888229	0.972
sigh	-61.0187089003	41.2793774868	0.917
injunction	35.029270348	-0.148296178551	0.234
sign	-33.668354022	-62.8280669003	0.596
cost	74.5216705455	12.5706749125	0.323
talker	-35.5628151464	-52.904817671	0.479
run	-60.1420125872	-29.3173683876	0.671
fear	-54.32321507	-1.50903948002	0.831
curse	-6.64757450069	-78.1697940575	0.410
constitution	20.3704129715	-2.31130036134	0.220
church	-12.7432263084	-18.6681436356	0.487
assistance	25.5727122267	-55.9828803983	0.413
favour	-47.3926716427	86.6198456148	0.976
uniform	29.4687863874	-56.2197096573	0.290
business	-45.6851743023	89.6831453981	0.981
ill-nature	-2.5788040457	-9.17457394415	0.288
reply	-69.4418441508	4.75170923711	0.811
appeal	-20.0946006103	-75.0390494275	0.490
feebleness	61.5884746567	-15.8617672616	0.305
